application_type,usia,masa_kerja,golongan_jabatan,status_kepegawaian,gaji_bulanan,jumlah_tanggungan,riwayat_kredit,keputusan_kredit,omzet_usaha,lama_usaha,sektor_ekonomi,lokasi_usaha,riwayat_pinjaman,jenis_penggunaan_kredit,jenis_jaminan,sumber_dana_pengembalian,plafond_pengajuan,jangka_waktu_kredit,collateral_details
Pegawai,34.0,22.0,Supervisor,Tetap,10800195.2,0.0,Pernah Macet,Pertimbangkan,,,,,,,Piutang,,477044533.82,53,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""dolor""}"
UMKM/Pengusaha,,,,,,,,Layak,66765724.21,12.0,Perdagangan,Sleman,Ada,Pembelian Aset,Kendaraan,Usaha Sendiri,432961454.63,9,"{""merk_kendaraan"": ""Suzuki"", ""tahun_kendaraan"": 2017, ""atas_nama_kendaraan"": ""Adinata Waluyo"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
Pegawai,23.0,35.0,Supervisor,Kontrak,19424748.14,2.0,Pernah Macet,Pertimbangkan,,,,,,Konsumsi,Kendaraan,Bonus,308758866.89,47,"{""merk_kendaraan"": ""Toyota"", ""tahun_kendaraan"": 2010, ""atas_nama_kendaraan"": ""Paramita Siregar, M.Ak"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
Pegawai,39.0,30.0,Supervisor,Kontrak,7303645.03,1.0,Ada,Layak,,,,,,Renovasi Rumah,Emas,Pendapatan Lain,5035606.44,57,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""placeat""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,141166879.22,2.0,Pertanian,Pusat Kota,Pernah Macet,Pembelian Aset,Emas,Tambahan Modal,22289625.09,41,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""optio""}"
Pegawai,55.0,34.0,Staf Pelaksana,Outsource,29577585.48,5.0,Ada,Layak,,,,,,Konsumsi,Persediaan,Lain-lain,45578183.99,49,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""delectus""}"
UMKM/Pengusaha,,,,,,,,Layak,91050685.18,12.0,Kuliner,Yogyakarta Kota,Pernah Macet,Modal Kerja,Tanah/Bangunan,Tambahan Modal,229969252.88,19,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""nostrum""}"
UMKM/Pengusaha,,,,,,,,Layak,61730394.22,9.0,Perdagangan,Yogyakarta Kota,Pernah Macet,Renovasi,Emas,Penjualan Aset,171831827.77,16,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""rem""}"
UMKM/Pengusaha,,,,,,,,Layak,177319750.08,10.0,Kerajinan,Yogyakarta Kota,Ada,Investasi,Emas,Penjualan Aset,40498015.46,9,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""quis""}"
Pegawai,57.0,4.0,Supervisor,Outsource,19572579.65,1.0,Ada,Layak,,,,,,,Kendaraan,,33950655.35,50,"{""merk_kendaraan"": ""Toyota"", ""tahun_kendaraan"": 2011, ""atas_nama_kendaraan"": ""Salsabila Wahyudin"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Layak,5001334.01,8.0,Transportasi,Sleman,Tidak Ada,Modal Kerja,Deposito,Lain-lain,419699998.54,55,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""adipisci""}"
Pegawai,47.0,29.0,Staf Pelaksana,Tetap,19197420.14,2.0,Ada,Layak,,,,,,,Persediaan,,73472254.94,35,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""beatae""}"
Pegawai,22.0,16.0,Staf Senior,Tetap,11973296.92,4.0,Pernah Macet,Pertimbangkan,,,,,,Pendidikan,Tidak Ada,Pendapatan Lain,329587736.54,56,
Pegawai,38.0,15.0,Supervisor,Outsource,4476162.23,3.0,Ada,Pertimbangkan,,,,,,Renovasi Rumah,Deposito,Lain-lain,131239550.15,68,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""accusantium""}"
Pegawai,60.0,28.0,Administrasi,Outsource,9190616.11,4.0,Pernah Macet,Pertimbangkan,,,,,,Urusan Pribadi,Piutang,Bonus,378241280.15,72,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""eum""}"
Pegawai,26.0,2.0,Supervisor,Kontrak,7625737.98,5.0,Tidak Ada,Pertimbangkan,,,,,,,Tanah/Bangunan,,79166528.14,35,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""error""}"
UMKM/Pengusaha,,,,,,,,Layak,122684450.95,12.0,Jasa,Bantul,Ada,Modal Kerja,Emas,Tambahan Modal,43373437.11,31,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""asperiores""}"
UMKM/Pengusaha,,,,,,,,Layak,186911565.85,13.0,Pertanian,Pinggir Kota,Tidak Ada,Investasi,Tanah/Bangunan,Tambahan Modal,92415347.03,51,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""possimus""}"
UMKM/Pengusaha,,,,,,,,Layak,107611560.04,8.0,Jasa,Pusat Kota,Pernah Macet,Investasi,Tanah/Bangunan,Tambahan Modal,375664040.13,34,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""reiciendis""}"
Pegawai,59.0,24.0,Staf Pelaksana,Kontrak,24634671.19,0.0,Ada,Layak,,,,,,Renovasi Rumah,Piutang,Gaji,46342826.24,62,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""numquam""}"
UMKM/Pengusaha,,,,,,,,Layak,32803326.16,7.0,Kerajinan,Sleman,Tidak Ada,Renovasi,Persediaan,Usaha Sendiri,322551861.4,21,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""delectus""}"
Pegawai,30.0,31.0,Staf Pelaksana,Kontrak,19498193.2,1.0,Pernah Macet,Layak,,,,,,Pembelian Kendaraan,Deposito,Bonus,146504474.26,72,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""error""}"
UMKM/Pengusaha,,,,,,,,Layak,194045119.21,1.0,Kerajinan,Pinggir Kota,Tidak Ada,Renovasi,Emas,Tambahan Modal,416355526.17,13,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""provident""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,15252692.27,9.0,Kuliner,Yogyakarta Kota,Pernah Macet,Renovasi,Kendaraan,Usaha Sendiri,156282575.77,17,"{""merk_kendaraan"": ""Toyota"", ""tahun_kendaraan"": 2011, ""atas_nama_kendaraan"": ""Lulut Napitupulu, S.I.Kom"", ""lokasi_jaminan"": ""Yogyakarta""}"
Pegawai,36.0,35.0,Staf Pelaksana,Tetap,6513735.46,5.0,Pernah Macet,Tidak Layak,,,,,,Renovasi Rumah,Tanah/Bangunan,Gaji,489989402.22,13,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""sequi""}"
Pegawai,35.0,14.0,Supervisor,Tetap,27394140.96,4.0,Ada,Pertimbangkan,,,,,,Pendidikan,Kendaraan,Lain-lain,366906572.51,56,"{""merk_kendaraan"": ""Toyota"", ""tahun_kendaraan"": 2008, ""atas_nama_kendaraan"": ""Puti Ayu Riyanti, S.Gz"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,14099535.74,12.0,Perdagangan,Yogyakarta Kota,Pernah Macet,Konsumsi,Deposito,Penjualan Aset,254895523.27,31,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""eaque""}"
Pegawai,35.0,30.0,Staf Senior,Kontrak,7174541.47,0.0,Ada,Pertimbangkan,,,,,,Pendidikan,Tidak Ada,Lain-lain,309118882.66,57,
UMKM/Pengusaha,,,,,,,,Layak,57172210.1,7.0,Lainnya,Sleman,Ada,Modal Kerja,Piutang,Penjualan Aset,321799099.4,52,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""perspiciatis""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,147932547.07,2.0,Transportasi,Bantul,Pernah Macet,Pembelian Aset,Tanah/Bangunan,Usaha Sendiri,493924499.33,18,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""corporis""}"
Pegawai,36.0,31.0,Administrasi,Outsource,24995991.51,3.0,Pernah Macet,Pertimbangkan,,,,,,,Emas,,83297599.58,31,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""praesentium""}"
Pegawai,22.0,1.0,Staf Senior,Tetap,5478791.02,4.0,Pernah Macet,Tidak Layak,,,,,,Urusan Pribadi,Tanah/Bangunan,Lain-lain,229917059.89,57,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""corrupti""}"
Pegawai,33.0,26.0,Administrasi,Tetap,21993351.02,3.0,Pernah Macet,Pertimbangkan,,,,,,Renovasi Rumah,Kendaraan,Gaji,352755082.96,14,"{""merk_kendaraan"": ""Mitsubishi"", ""tahun_kendaraan"": 2002, ""atas_nama_kendaraan"": ""Liman Simanjuntak"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
Pegawai,48.0,0.0,Supervisor,Kontrak,12672431.29,2.0,Pernah Macet,Pertimbangkan,,,,,,Urusan Pribadi,Emas,Bonus,6938289.41,72,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""sit""}"
Pegawai,53.0,30.0,Administrasi,Kontrak,13637513.06,2.0,Tidak Ada,Layak,,,,,,,Persediaan,,342898756.97,25,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""enim""}"
Pegawai,55.0,26.0,Administrasi,Outsource,14305503.26,5.0,Pernah Macet,Pertimbangkan,,,,,,,Piutang,,345257887.4,22,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""perferendis""}"
Pegawai,45.0,2.0,Supervisor,Kontrak,26125157.64,0.0,Tidak Ada,Layak,,,,,,,Tanah/Bangunan,,115604857.94,63,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""earum""}"
Pegawai,39.0,34.0,Administrasi,Outsource,9497916.3,0.0,Pernah Macet,Pertimbangkan,,,,,,Urusan Pribadi,Tidak Ada,Bonus,482017652.3,31,
UMKM/Pengusaha,,,,,,,,Layak,92689214.5,7.0,Lainnya,Sleman,Tidak Ada,Investasi,Tidak Ada,Tambahan Modal,220405317.18,61,
UMKM/Pengusaha,,,,,,,,Pertimbangkan,41880894.96,10.0,Kerajinan,Online,Pernah Macet,Pembelian Aset,Deposito,Lain-lain,65082047.75,69,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""asperiores""}"
Pegawai,35.0,25.0,Staf Pelaksana,Outsource,10570245.88,2.0,Tidak Ada,Layak,,,,,,Lain-lain,Kendaraan,Lain-lain,109219822.63,7,"{""merk_kendaraan"": ""Mitsubishi"", ""tahun_kendaraan"": 2016, ""atas_nama_kendaraan"": ""Ian Hutapea, M.Farm"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Layak,42507464.24,2.0,Kuliner,Pinggir Kota,Ada,Investasi,Tanah/Bangunan,Lain-lain,216439960.39,68,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""praesentium""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,57623744.64,11.0,Lainnya,Pedesaan,Pernah Macet,Investasi,Tidak Ada,Tambahan Modal,471064200.2,27,
Pegawai,50.0,35.0,Administrasi,Kontrak,23062152.52,3.0,Tidak Ada,Layak,,,,,,,Persediaan,,339979688.34,13,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""culpa""}"
Pegawai,58.0,32.0,Supervisor,Outsource,25960596.91,2.0,Pernah Macet,Pertimbangkan,,,,,,Renovasi Rumah,Piutang,Pendapatan Lain,312635422.38,22,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""culpa""}"
UMKM/Pengusaha,,,,,,,,Layak,174830838.51,10.0,Transportasi,Pinggir Kota,Tidak Ada,Investasi,Deposito,Lain-lain,434057137.15,70,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""excepturi""}"
Pegawai,38.0,32.0,Staf Senior,Kontrak,7654062.48,0.0,Pernah Macet,Pertimbangkan,,,,,,Urusan Pribadi,Persediaan,Gaji,189657986.07,55,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""cum""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,143424700.42,6.0,Transportasi,Pedesaan,Pernah Macet,Modal Kerja,Persediaan,Tambahan Modal,137561306.07,15,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""totam""}"
Pegawai,31.0,11.0,Supervisor,Tetap,21622998.79,1.0,Pernah Macet,Pertimbangkan,,,,,,Pembelian Kendaraan,Kendaraan,Pendapatan Lain,273785358.21,50,"{""merk_kendaraan"": ""Honda"", ""tahun_kendaraan"": 2023, ""atas_nama_kendaraan"": ""Qori Saputra"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
Pegawai,52.0,4.0,Supervisor,Outsource,26175581.52,3.0,Pernah Macet,Tidak Layak,,,,,,,Tidak Ada,,348592454.23,30,
Pegawai,49.0,7.0,Administrasi,Tetap,21698456.72,5.0,Pernah Macet,Pertimbangkan,,,,,,Pembelian Kendaraan,Deposito,Gaji,388699277.0,56,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""reiciendis""}"
UMKM/Pengusaha,,,,,,,,Layak,32502837.06,13.0,Lainnya,Bantul,Ada,Renovasi,Tidak Ada,Penjualan Aset,55786019.14,30,
Pegawai,59.0,8.0,Staf Senior,Tetap,29728526.38,5.0,Ada,Layak,,,,,,Pembelian Kendaraan,Kendaraan,Gaji,31187057.79,9,"{""merk_kendaraan"": ""Toyota"", ""tahun_kendaraan"": 2022, ""atas_nama_kendaraan"": ""Ifa Suartini"", ""lokasi_jaminan"": ""Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,42505377.79,10.0,Kerajinan,Bantul,Pernah Macet,Investasi,Kendaraan,Tambahan Modal,146409835.01,25,"{""merk_kendaraan"": ""Suzuki"", ""tahun_kendaraan"": 2019, ""atas_nama_kendaraan"": ""Sutan Dasa Uyainah"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
UMKM/Pengusaha,,,,,,,,Layak,171997819.31,12.0,Kerajinan,Yogyakarta Kota,Tidak Ada,Konsumsi,Tanah/Bangunan,Tambahan Modal,83552042.62,62,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""tempore""}"
Pegawai,47.0,9.0,Supervisor,Kontrak,18239781.0,0.0,Ada,Layak,,,,,,Pembelian Kendaraan,Persediaan,Lain-lain,31536876.52,55,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""odit""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,169866198.56,10.0,Lainnya,Online,Pernah Macet,Renovasi,Tanah/Bangunan,Lain-lain,391650761.47,48,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""commodi""}"
Pegawai,25.0,16.0,Supervisor,Kontrak,22437366.45,4.0,Ada,Pertimbangkan,,,,,,Pendidikan,Kendaraan,Gaji,453507125.08,42,"{""merk_kendaraan"": ""Honda"", ""tahun_kendaraan"": 2017, ""atas_nama_kendaraan"": ""Kezia Mardhiyah"", ""lokasi_jaminan"": ""Yogyakarta""}"
Pegawai,25.0,26.0,Supervisor,Outsource,26415508.85,1.0,Pernah Macet,Layak,,,,,,,Persediaan,,194058687.46,18,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""iure""}"
Pegawai,39.0,22.0,Administrasi,Tetap,9782919.01,3.0,Pernah Macet,Pertimbangkan,,,,,,Urusan Pribadi,Emas,Pendapatan Lain,312865829.86,48,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""quidem""}"
Pegawai,47.0,1.0,Staf Senior,Outsource,29315594.1,2.0,Pernah Macet,Pertimbangkan,,,,,,Konsumsi,Kendaraan,Bonus,18091850.37,69,"{""merk_kendaraan"": ""Mitsubishi"", ""tahun_kendaraan"": 2016, ""atas_nama_kendaraan"": ""Tgk. Puji Sihotang, S.E.I"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
Pegawai,23.0,23.0,Supervisor,Tetap,8705462.6,2.0,Pernah Macet,Pertimbangkan,,,,,,,Piutang,,320071617.67,67,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""eum""}"
Pegawai,58.0,0.0,Staf Pelaksana,Tetap,25629341.5,4.0,Ada,Pertimbangkan,,,,,,Renovasi Rumah,Deposito,Pendapatan Lain,463733901.89,14,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""in""}"
Pegawai,45.0,1.0,Administrasi,Tetap,23558039.79,4.0,Ada,Pertimbangkan,,,,,,,Persediaan,,335730113.91,36,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""placeat""}"
Pegawai,54.0,7.0,Staf Pelaksana,Kontrak,16927987.0,1.0,Pernah Macet,Pertimbangkan,,,,,,Konsumsi,Emas,Lain-lain,214040853.33,72,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""nulla""}"
UMKM/Pengusaha,,,,,,,,Layak,40141558.27,10.0,Manufaktur,Sleman,Pernah Macet,Renovasi,Piutang,Penjualan Aset,216152381.65,34,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""officia""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,15094013.6,15.0,Kerajinan,Bantul,Tidak Ada,Modal Kerja,Kendaraan,Lain-lain,119189718.66,55,"{""merk_kendaraan"": ""Mitsubishi"", ""tahun_kendaraan"": 2022, ""atas_nama_kendaraan"": ""Baktiadi Widiastuti"", ""lokasi_jaminan"": ""Yogyakarta""}"
Pegawai,38.0,9.0,Supervisor,Tetap,4797357.77,2.0,Pernah Macet,Pertimbangkan,,,,,,,Kendaraan,,332597511.3,50,"{""merk_kendaraan"": ""Suzuki"", ""tahun_kendaraan"": 2019, ""atas_nama_kendaraan"": ""Baktianto Yuniar"", ""lokasi_jaminan"": ""Luar Yogyakarta""}"
Pegawai,43.0,24.0,Supervisor,Kontrak,26189533.61,2.0,Tidak Ada,Layak,,,,,,,Piutang,,357727198.33,34,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""perferendis""}"
Pegawai,35.0,26.0,Staf Senior,Kontrak,18172826.97,3.0,Tidak Ada,Layak,,,,,,Konsumsi,Persediaan,Pendapatan Lain,158010811.72,70,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""vero""}"
UMKM/Pengusaha,,,,,,,,Pertimbangkan,95374751.74,1.0,IT,Bantul,Pernah Macet,Renovasi,Kendaraan,Usaha Sendiri,129636538.31,54,"{""merk_kendaraan"": ""Suzuki"", ""tahun_kendaraan"": 2013, ""atas_nama_kendaraan"": ""Faizah Hutasoit"", ""lokasi_jaminan"": ""Yogyakarta""}"
Pegawai,42.0,1.0,Staf Pelaksana,Tetap,20377082.81,0.0,Ada,Pertimbangkan,,,,,,Urusan Pribadi,Tanah/Bangunan,Lain-lain,370229938.36,46,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""repudiandae""}"
Pegawai,48.0,25.0,Supervisor,Outsource,20283753.02,4.0,Tidak Ada,Layak,,,,,,,Emas,,16800491.9,32,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""labore""}"
Pegawai,59.0,23.0,Supervisor,Tetap,10667055.42,5.0,Pernah Macet,Pertimbangkan,,,,,,Pembelian Kendaraan,Piutang,Bonus,492366598.35,67,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""omnis""}"
UMKM/Pengusaha,,,,,,,,Layak,32919678.21,15.0,Kerajinan,Sleman,Pernah Macet,Pembelian Aset,Piutang,Lain-lain,160728434.88,27,"{""lokasi_jaminan"": ""Yogyakarta"", ""deskripsi"": ""vero""}"
Pegawai,60.0,3.0,Staf Pelaksana,Kontrak,9735548.07,4.0,Pernah Macet,Tidak Layak,,,,,,,Deposito,,207842917.36,30,"{""lokasi_jaminan"": ""Luar Yogyakarta"", ""deskripsi"": ""debitis""}"
